model lang,fact lang,model,init method,iter method,overall,single_word,multi_word,explicit,non_explicit
en,nl,mbert_base,confidence,left,0.008379931991148054,0.01499778294991061,0.001358695652173913,0.001718213058419244,0.012376963350785341
en,nl,mbert_base,confidence,confidence,0.008379931991148054,0.01499778294991061,0.001358695652173913,0.001718213058419244,0.012376963350785341
en,nl,xlm_base,all,none,0.00396286231884058,0.026096491228070173,0.0,0.0,0.006340579710144928
en,nl,xlm_base,all,left,0.00396286231884058,0.026096491228070173,0.0,0.0,0.006340579710144928
en,nl,xlm_base,all,confidence,0.001953125,0.003947368421052632,0.0,0.0,0.003125
en,nl,xlm_base,left,none,0.002660778985507246,0.023464912280701754,0.0,0.0,0.004257246376811593
en,nl,xlm_base,left,left,0.0013020833333333333,0.002631578947368421,0.0,0.0,0.0020833333333333333
en,nl,xlm_base,left,confidence,0.0013020833333333333,0.002631578947368421,0.0,0.0,0.0020833333333333333
en,nl,xlm_base,confidence,none,0.002660778985507246,0.023464912280701754,0.0,0.0,0.004257246376811593
en,nl,xlm_base,confidence,left,0.0013020833333333333,0.002631578947368421,0.0,0.0,0.0020833333333333333
en,nl,xlm_base,confidence,confidence,0.0013020833333333333,0.002631578947368421,0.0,0.0,0.0020833333333333333
en,hu,mbert_base,all,none,0.06756321432717372,0.07885928397852739,0.014423076923076924,0.06867636867636868,0.06689532171765675
en,hu,mbert_base,all,left,0.06215780892176831,0.07318970462473752,0.014423076923076924,0.05606375606375607,0.06581424063657566
en,hu,mbert_base,all,confidence,0.06080645757041696,0.07251402894906184,0.01201923076923077,0.054261954261954265,0.06473315955549458
en,hu,mbert_base,left,none,0.054725376489335884,0.06511207812605839,0.01201923076923077,0.047054747054747055,0.059327754150089174
en,hu,mbert_base,left,left,0.05337402513798453,0.06323237887793809,0.01201923076923077,0.047054747054747055,0.05716559198792701
en,hu,mbert_base,left,confidence,0.0520638316958114,0.06158014070226241,0.01201923076923077,0.04525294525294526,0.05615036356153108
en,hu,mbert_base,confidence,none,0.04624044925440864,0.05563430853315721,0.01201923076923077,0.029833679833679835,0.05608451090684593
en,hu,mbert_base,confidence,left,0.04556477357873297,0.05469445890909706,0.01201923076923077,0.029833679833679835,0.05500342982576485
en,hu,mbert_base,confidence,confidence,0.04556477357873297,0.05469445890909706,0.01201923076923077,0.029833679833679835,0.05500342982576485
en,hu,xlm_base,all,none,0.03934781555749298,0.043674636174636176,0.005376344086021506,0.03293293293293293,0.04319674513222901
en,hu,xlm_base,all,left,0.03966668281184411,0.02760914760914761,0.018145161290322582,0.02135468802135469,0.05065387968613775
en,hu,xlm_base,all,confidence,0.03011941873791444,0.01375779625779626,0.02033008394857965,0.017751084417751084,0.03754041933001245
en,hu,xlm_base,left,none,0.024658902702345723,0.014433471933471935,0.014193892237335259,0.019552886219552885,0.027722512592021426
en,hu,xlm_base,left,left,0.023983227026670047,0.01375779625779626,0.014193892237335259,0.017751084417751084,0.027722512592021426
en,hu,xlm_base,left,confidence,0.023983227026670047,0.01375779625779626,0.014193892237335259,0.017751084417751084,0.027722512592021426
en,hu,xlm_base,confidence,none,0.029013350357976714,0.010010395010395011,0.022214506059132416,0.013380046713380047,0.03839333254473472
en,hu,xlm_base,confidence,left,0.02833767468230104,0.009334719334719336,0.022214506059132416,0.011578244911578245,0.03839333254473472
en,hu,xlm_base,confidence,confidence,0.02833767468230104,0.009334719334719336,0.022214506059132416,0.011578244911578245,0.03839333254473472
nl,en,mbert_base,all,none,0.030031565656565656,0.1276229232689907,0.0033783783783783786,0.0,0.04805050505050505
nl,en,mbert_base,all,left,0.026906565656565656,0.12060045135887833,0.0033783783783783786,0.0,0.04305050505050505
nl,en,mbert_base,all,confidence,0.028156565656565657,0.12340944012292328,0.0033783783783783786,0.0,0.04505050505050505
nl,en,mbert_base,left,none,0.030656565656565656,0.12621842888696821,0.00563063063063063,0.0,0.04905050505050505
nl,en,mbert_base,left,left,0.030031565656565656,0.12481393450494574,0.00563063063063063,0.0,0.04805050505050505
nl,en,mbert_base,left,confidence,0.030031565656565656,0.12481393450494574,0.00563063063063063,0.0,0.04805050505050505
nl,en,mbert_base,confidence,none,0.02940656565656566,0.1220049457409008,0.006756756756756757,0.0,0.04705050505050505
nl,en,mbert_base,confidence,left,0.02940656565656566,0.1220049457409008,0.006756756756756757,0.0,0.04705050505050505
nl,en,mbert_base,confidence,confidence,0.02940656565656566,0.1220049457409008,0.006756756756756757,0.0,0.04705050505050505
nl,en,xlm_base,all,none,0.02375,0.13475609756097562,0.0,0.0,0.038
nl,en,xlm_base,all,left,0.02,0.12560975609756098,0.0,0.0,0.032
nl,en,xlm_base,all,confidence,0.019375,0.12408536585365854,0.0,0.0,0.031
nl,en,xlm_base,left,none,0.020625,0.12713414634146342,0.0,0.0,0.033
nl,en,xlm_base,left,left,0.02,0.12560975609756098,0.0,0.0,0.032
nl,en,xlm_base,left,confidence,0.020625,0.12713414634146342,0.0,0.0,0.033
nl,en,xlm_base,confidence,none,0.018125000000000002,0.12103658536585366,0.0,0.0,0.029000000000000005
nl,en,xlm_base,confidence,left,0.0175,0.11951219512195121,0.0,0.0,0.028000000000000004
nl,en,xlm_base,confidence,confidence,0.018125000000000002,0.12103658536585366,0.0,0.0,0.029000000000000005
nl,nl,mbert_base,all,none,0.07820037688442211,0.11119113594191006,0.001288659793814433,0.15833333333333333,0.030120603015075374
nl,nl,mbert_base,all,left,0.07194723618090453,0.10201735418011526,0.001288659793814433,0.14500000000000002,0.02811557788944724
nl,nl,mbert_base,all,confidence,0.06944723618090452,0.10176743821332374,0.001288659793814433,0.1366666666666667,0.029115577889447235
nl,nl,mbert_base,left,none,0.06256281407035176,0.09303346361016848,0.001288659793814433,0.12333333333333334,0.026100502512562816
nl,nl,mbert_base,left,left,0.06068781407035176,0.09114904149961572,0.001288659793814433,0.11833333333333335,0.026100502512562816
nl,nl,mbert_base,left,confidence,0.06131281407035176,0.0917771822031333,0.001288659793814433,0.12000000000000001,0.026100502512562816
nl,nl,mbert_base,confidence,none,0.059434673366834175,0.08929541060001969,0.001288659793814433,0.11666666666666668,0.025095477386934673
nl,nl,mbert_base,confidence,left,0.05755967336683417,0.08741098848946693,0.001288659793814433,0.11166666666666668,0.025095477386934673
nl,nl,mbert_base,confidence,confidence,0.05755967336683417,0.08741098848946693,0.001288659793814433,0.11166666666666668,0.025095477386934673
nl,nl,xlm_base,all,none,0.010637562814070353,0.032431271477663226,0.0,0.016666666666666666,0.007020100502512563
nl,nl,xlm_base,all,left,0.008759422110552764,0.029853951890034362,0.0,0.013333333333333334,0.006015075376884422
nl,nl,xlm_base,all,confidence,0.007509422110552765,0.027920962199312713,0.0006868131868131869,0.008333333333333333,0.007015075376884422
nl,nl,xlm_base,left,none,0.010012562814070352,0.031142611683848798,0.0006868131868131869,0.013333333333333334,0.008020100502512563
nl,nl,xlm_base,left,left,0.010012562814070352,0.031142611683848798,0.0006868131868131869,0.013333333333333334,0.008020100502512563
nl,nl,xlm_base,left,confidence,0.010012562814070352,0.031142611683848798,0.0006868131868131869,0.013333333333333334,0.008020100502512563
nl,nl,xlm_base,confidence,none,0.008759422110552764,0.02856529209621993,0.0013736263736263737,0.01,0.008015075376884423
nl,nl,xlm_base,confidence,left,0.008134422110552764,0.02856529209621993,0.0006868131868131869,0.01,0.007015075376884422
nl,nl,xlm_base,confidence,confidence,0.007509422110552765,0.027920962199312713,0.0006868131868131869,0.008333333333333333,0.007015075376884422
nl,hu,mbert_base,all,none,0.011817950025497195,0.09545454545454546,0.006441570881226054,0.009892911779704232,0.012972972972972974
nl,hu,mbert_base,all,left,0.018230494645588985,0.09545454545454546,0.013212404214559386,0.02699303076661567,0.012972972972972974
nl,hu,mbert_base,all,confidence,0.013844977052524222,0.09545454545454546,0.008524904214559387,0.015298317185109636,0.012972972972972974
nl,hu,mbert_base,left,none,0.02125191228964814,0.08409090909090909,0.017552681992337164,0.03685194628590855,0.011891891891891892
nl,hu,mbert_base,left,left,0.02125191228964814,0.08409090909090909,0.017552681992337164,0.03685194628590855,0.011891891891891892
nl,hu,mbert_base,left,confidence,0.02125191228964814,0.08409090909090909,0.017552681992337164,0.03685194628590855,0.011891891891891892
nl,hu,mbert_base,confidence,none,0.02463029066802652,0.08409090909090909,0.021024904214559388,0.045860955294917564,0.011891891891891892
nl,hu,mbert_base,confidence,left,0.02463029066802652,0.08409090909090909,0.021024904214559388,0.045860955294917564,0.011891891891891892
nl,hu,mbert_base,confidence,confidence,0.02463029066802652,0.08409090909090909,0.021024904214559388,0.045860955294917564,0.011891891891891892
nl,hu,xlm_base,all,none,0.010196560196560196,0.103125,0.005,0.01818181818181818,0.005405405405405406
nl,hu,xlm_base,all,left,0.014742014742014743,0.0625,0.01319060773480663,0.03210483210483211,0.004324324324324324
nl,hu,xlm_base,all,confidence,0.013144963144963145,0.0625,0.01138121546961326,0.027846027846027844,0.004324324324324324
nl,hu,xlm_base,left,none,0.014496314496314496,0.0625,0.01276243093922652,0.03144963144963145,0.004324324324324324
nl,hu,xlm_base,left,left,0.013574938574938574,0.0625,0.011643646408839779,0.02899262899262899,0.004324324324324324
nl,hu,xlm_base,left,confidence,0.013574938574938574,0.0625,0.011643646408839779,0.02899262899262899,0.004324324324324324
